galaxy,Mgas,err_Mgas,Mdust,err_Mdust,Z,err_Z
NGC1427A,1612253823.9999995,177728768.00000086,1102000.0,317400.0,0.23713737056646328,0.004914260770124446
NGC1428,nan,nan,164000.0,1417000.0,nan,nan
NGC1436,176831646.1088624,22854504.96679122,4475000.0,648500.0,0.6324118513772233,0.01019327471130242
NGC1437B,211616304.98102865,nan,1041000.0,205600.0,0.8279421637134029,0.22304965223131573
NGC1460,nan,nan,nan,nan,nan,nan
NGC1481,nan,nan,475100.0,190500.0,nan,nan
NGC1482,516868342.36298764,nan,8701000.0,916200.0,0.9484184633021664,0.2336681210607081
NGC1510,3466613408.5487523,nan,194100.0,75150.0,0.3809768704924566,0.19078797132463488
NGC1512,7914069052.184362,361591086.00497645,7897000.0,1162000.0,0.6266138646733281,0.024528139645630203
NGC1566,3769092960.463356,1020360343.9524382,4312000.0,587200.0,0.6729766562853986,0.024793376267140066
NGC1569,210893990.32234627,10516176.882725107,152800.0,49430.0,0.12437714553920214,0.03236195261874291
NGC1617,nan,nan,4491000.0,627800.0,nan,nan
NGC1705,114597321.2687826,5574797.970316432,106800.0,41740.0,0.21330449131491883,0.006876124387588909
NGC1800,172554333.48000002,5148572.389200018,242400.0,65310.0,0.3059352292349266,nan
NGC1808,41943188036.21219,12001437454.315447,17990000.0,1942000.0,nan,nan
NGC1924,2326091772.5529346,243351731.15304118,12030000.0,1835000.0,nan,nan
NGC2110,nan,nan,5921000.0,1982000.0,nan,nan
NGC2146,46314170112.296684,nan,65970000.0,6282000.0,nan,nan
NGC2207,7457895000.0,712643300.0000043,nan,nan,nan,nan
NGC2273,3853899414.614619,536379678.94664395,12870000.0,4431000.0,nan,nan
NGC2403,2726424879.0293283,139864814.52611694,6608000.0,1453000.0,0.3443499307638152,0.020615270451113086
NGC2480,376886361.1291749,nan,nan,nan,nan,nan
NGC2481,311515211.8044718,nan,nan,nan,nan,nan
NGC2549,nan,nan,2714000.0,1349000.0,nan,nan
NGC2577,91635986.9068876,nan,nan,nan,1.5523870099604087,0.7756671917295209
NGC2592,nan,nan,nan,nan,nan,nan
NGC2655,693010717.3169129,75372766.83809356,2709000.0,544300.0,nan,nan
NGC2679,nan,nan,nan,nan,nan,nan
NGC2685,nan,nan,3656000.0,553500.0,nan,nan
NGC2764,1518493856.0,nan,13790000.0,2135000.0,nan,nan
NGC2768,20437370.11068053,nan,nan,nan,nan,nan
NGC2778,nan,nan,nan,nan,nan,nan
NGC2787,195834282.5991435,23344484.018441014,nan,nan,nan,nan
NGC2798,3304926061.4,650524185.2542715,6471000.0,934600.0,nan,nan
NGC2799,2819051056.7249856,nan,nan,nan,nan,nan
NGC2841,11570778745.557222,578538937.2778615,45090000.0,6234000.0,0.8609937521860526,0.07137040964202995
NGC2853,114858112.27115469,nan,3497000.0,874300.0,0.5636376558268252,0.08825200916270251
NGC2859,281598490.54062504,17879268.976367258,4572000.0,2231000.0,nan,nan
